"","Sighted","Reported","Location","Shape","Duration"
"31764",20050321,20050322,"Lafayette, IN","circle","2 hours"
"58506",20100218,20100219,"Westwood, MA","cylinder","5 minutes"
"48289",20080526,20080527,"Murrieta, CA","disk","20 minutes"
"49400",20080624,20080725,"Sterling, VA","flash","Instant"
"11138",20010307,20010307,"Santa Monica, CA","fireball","3-5minutes"
"48212",20080427,20080428,"Woodland, CA","formation","20 seconds"
"59052",20090115,20100213,"Florissant, MO","changing","5 minutes each"
"34146",20050910,20050917,"Haifa (Israel),","triangle","2 seconds"
"21948",19820701,20030914,"Oxdrift (Canada), ON","disk","15 minutes"
"54835",20090530,20090602,"Steger, IL","formation","10 min"
"34281",20050925,20050927,"Nottingham (UK/England),","changing","3 minutes"
"27916",20040711,20040711,"Gosport (UK/England),","disk","3 mins"
"52461",20081203,20081204,"Yalta (Crimea) (Ukraine),","disk","45 min"
"49820",20080712,20080714,"North Ridgeville, OH","flash","30 seconds"
"20874",19980617,20030728,"Kamloops (Canada), BC","cylinder","approx: 10 sec."
"21797",19870505,20030929,"Natick, MA","disk","10 seconds"
"51054",20081022,20081022,"Anacortes, WA","light","appx. 5-10 seconds"
"17556",20020918,20020918,"Grants Pass, OR","other","20 minutes"
"5092",19990712,19990823,"Santa Cruz (@ 3200Ft Near Bonnie Doon Airport), CA","circle","5+mins."
"6237",19991116,19991116,"Anna, OH","light","00:00:30"
"27599",20040717,20040718,"Lancaster, CA","triangle","40-45 min"
"56739",20090920,20090920,"San Marcos, TX","triangle","60 seconds"
"60506",20100628,20100629,"Sandwich, IL","sphere","1 Minute"
"6384",19991016,19991109,"The Colony, TX","triangle","15 seconds"
"23895",19990215,20031221,"Austin, TX","unknown","unknown"
"12503",20010417,20010611,"Los Angeles, CA","sphere","20 seconds"
"13022",20010905,20010906,"Westbrook, CT","changing","2 hours, disappearing and"
"57620",20091110,20091110,"Eastland, TX","flash","in sky"
"23630",20031108,20031118,"Merritt Island, FL","other","15+ minutes"
"46133",20071210,20071211,"Albany (near), NY","cigar","@40 MINUTES"
"10568",20010318,20010318,"Rockford, IL","formation","about 3 minutes"
"35561",20051215,20051226,"Osaka - Itami chome (Japan),","fireball","2 secs"
"4391",19970830,19990401,"Aston, PA","diamond","looking for keys"
"37974",20060628,20060629,"Pasadena, CA","unknown","home"
"23020",20031206,20031208,"Sycamore, GA","teardrop","15 min."
"16218",20000727,20020725,"Bouse, AZ","light","8 Seconds"
"1398",0,19971019,"Warren, OH","unknown","3 minutes"
"32584",20050630,20050705,"Fort Collins, CO","circle","10 min"
"58251",20100209,20100212,"Modesto, CA","changing","15 min"
"46718",20080226,20080227,"Marlboro, VT","unknown","30 seconds"
"22395",20031001,20031007,"Quesnel (Canada), BC","other","1 1/2 minutes"
"998",19930701,19961219,"Lynnwood/Alderwood Manor, WA","light","several minutes"
"55266",19870715,20090708,"Dyersburg, TN","circle","10 Seconds"
"34009",20050929,20050930,"Ocean City, MD","circle","20 mins"
"31994",20050706,20050707,"Ottawa (Canada), ON","unknown","20-30seconds"
"44988",20070927,20070929,"Chandler, AZ","circle","Unknown"
"37053",20060105,20060501,"Rio de Janeiro (Brazil),","formation","5 minutes"
"23767",20031111,20031111,"Grayslake, IL","diamond","1 minute"
"17832",20021220,20021220,"Punta Gorda, FL","disk","3 hours"
"25670",19941015,20040425,"Molalla (near), OR","other","3 minutes"
"55150",20090517,20090517,"Homer Glen, IL","circle","3-4 mins"
"52758",20090131,20090131,"Canyon Lake, TX","fireball","4 seconds"
"34768",20051110,20051110,"Kingstown, RI","light","5 sec"
"29632",19740712,20050116,"Mosinee, WI","oval","5 to 15 min"
"17330",19900414,20021019,"Indianapolis, IN","circle","15.min"
"9668",19850427,20000914,"San Francisco, CA","cylinder","19:30"
"37760",20060731,20060731,"New York City (Brooklyn), NY","formation","1+hours"
"43563",19970214,20070708,"Las Vegas, NV","formation","5 minutes +/-"
"30016",20050112,20050112,"Lancaster, CA","triangle","20 Minutes"
"50361",19790612,20080930,"Dublin (Ireland),","other","1 minute"
"52286",20081121,20081210,"Palos Verdes, CA","other","3 minutes"
"23632",20000706,20031201,"Airdrie (Canada), AB","light","Unknown"
"16463",20020812,20020813,"Conisbrough (DONCASTER) (UK/England),","light","15 secs"
"43813",20070609,20070610,"Columbia, IL","triangle","&lt; 1 min"
"21701",20030908,20030908,"Dunnville (Canada), ON","other","30-50 secs"
"47436",20070905,20080408,"York, ME","circle","uknown"
"11412",19550617,20010526,"Rantoul, IL","light","10 Minutes"
"3935",19700801,19981215,"Racine, HI","unknown","1 minute"
"23802",20040104,20040104,"Palmdale, CA","oval","5 minutes"
"54693",20090506,20090513,"Romont (Switzerland),","triangle","unknown"
"16299",20020807,20020808,"Tukwila, WA","light","3-4 seconds"
"28613",19910715,20041018,"Sumter, SC","disk","&lt;10 minutes"
"1852",19970608,19970609,"Maplewood (Canada), NB","other","5 to 10minutes"
"28163",20040921,20040921,"Cincinnati, OH","fireball","few seconds"
"20410",20030713,20030721,"Sacramento, CA","unknown","1-2 minutes"
"13548",19771115,20011009,"Sidney, MT","circle","3 minutes"
"23170",20031110,20031113,"Watsonville, CA","disk","5 min"
"59830",20100602,20100613,"Federal Way, WA","disk","UNKNOWN"
"6732",20000113,20000114,"Phoenix, AZ","circle","5 seconds"
"8927",20000712,20000712,"Chandler, AZ","circle","12 minutes"
"15741",19990505,20020605,"Phoenix, AZ","light","several hours"
"23287",20020716,20031218,"Bridgewater (Canada), NS","unknown","15 minutes"
"51391",20081101,20081113,"Saint George, UT","triangle","32 minutes"
"15599",20020507,20020617,"Winnipeg (Canada), MB","other","30 minutes"
"29393",20041204,20041204,"Hialeah, FL","oval","2 seconds"
"27221",20040819,20040819,"Bloomington, MN","unknown","8 hours"
"23926",20040128,20040203,"Clarksville, NY","triangle","7 min"
"7839",19920818,20000312,"Wagarville, AL","fireball","1 minute"
"36566",20060308,20060310,"Poughkeepsie, NY","triangle","15 min"
"47092",20080217,20080217,"Carlsbad, CA","light","12 minutes"
"4776",19990816,19990819,"Toledo, OH","light","4 munites"
"52068",20081129,20081129,"Ashville, OH","light","unknown ~10 min +"
"25358",20040227,20040227,"Allentown, PA","circle","3 Min."
"55422",20090806,20090806,"Jupiter, FL","circle","30 minutes"
"60418",19761125,20100723,"Virginia (western part; rural?), VA","fireball","2 minutes"
"42197",20070416,20070416,"Bremen (Germany),","cigar","60 sec"
"6194",19991116,19991116,"Chicago, IL","fireball","30 sec."
"49161",20080714,20080715,"Two Harbors, MN","light","5 minutes"
"30336",20050217,20050217,"Waterloo (Canada), ON","triangle","10 seconds"
"20138",19880601,20030711,"Blythe, CA","formation","30 minutes"
"12787",20010613,20010614,"Hamburg, NY","light","1 hour"
"33409",19510815,20050719,"Altoona, PA","disk","20 min. ?"
"3965",19490815,19990111,"Mill Valley, CA","light","1 min. +"
"9481",20000922,20000925,"White City, OR","circle","5:00 am"
"58728",20100122,20100125,"Peekskill, NY","unknown","30 seconds"
"51394",20080707,20081027,"Gaberone (Botswama),","triangle","45 minutes"
"20912",20030811,20030826,"Grand Canyon (100 miles from), AZ","light","15 sec"
"28587",20040821,20041018,"Tinley Park, IL","formation","3-5"
"9321",20001031,20001101,"Elyria, OH","unknown","20 seconds"
"16730",20020811,20020817,"Two Creeks, WI","unknown","2 minutes"
"55494",20090819,20090820,"California (central part), CA","diamond","10 secs"
"36078",20021013,20060302,"Ship Bottom, NJ","triangle","1 minute"
"22950",19680612,20031023,"St. Paul, MN","circle","2 Minutes"
"17392",20021012,20021016,"San Leandro, CA","disk","10 minutes"
"35811",20060127,20060128,"Orlando, FL","unknown","9 seconds"
"44101",20070926,20070927,"Port Charlotte, FL","cigar","30 sec"
"49209",20080712,20080713,"Milton, WA","formation","3 minutes"
"44684",20070922,20070922,"Woodland Hills, CA","circle","1 min"
"45397",19900228,20071001,"San Clemente, CA","disk","30 minutes"
"51406",20081010,20081014,"Cincinnati, OH","oval","15 minutes"
"16060",20020704,20020705,"Pembroke Pines, FL","sphere","1 minute"
"40719",20010720,20070122,"Gobles, MI","light","1 min"
"20107",20030721,20030721,"Port Angeles, WA","sphere","5minuts"
"34629",20051107,20051110,"Sylvania, GA","light","30 min"
"19428",20030314,20030315,"Miami Beach, FL","other","15 minutes"
"32241",20050603,20050702,"Braintree (UK/England),","fireball","10 mins"
"26641",20040614,20040622,"Goodyear, AZ","disk","10 to 15 mins"
"56873",20090727,20091022,"Hunters, WA","light","15 minutes"
"39386",20060909,20060909,"Cupertino, CA","cylinder","5 minutes"
"60149",20100803,20100803,"Royal Palm Beach, FL","unknown","30 minutes"
"18690",19850623,20030113,"Hinton (Canada), AB","other","40 sec."
"11220",19980615,20010206,"Stockton (east of), CA","fireball","2min"
"11382",20010410,20010411,"Las Vegas, NV","other","10 minutes"
"40241",20061018,20061103,"Wilmington, NC","cigar","5min"
"46072",20070212,20071202,"Sydney (Australia),","cigar","1 or 2 minutes"
"30054",20041213,20050117,"Blue Springs, MO","oval","20 sec"
"42687",20070404,20070404,"Clearlake, CA","light","2min"
"39188",20060913,20060914,"Garland, TX","light","30 + minutes"
"5002",19990718,19990719,"Union County Airport, La Grande, OR","changing","5 minutes"
"4322",19990405,19990406,"Lettsworth, LA","light","2 minutes"
"9261",20001117,20001117,"Seabrook, NH","rectangle","5 minutes"
"16752",20020730,20020803,"Atlanta, GA","circle","2-3 seconds"
"20942",20030807,20030807,"Endicott, NY","unknown","30 Seconds"
"42220",20070429,20070501,"Piscataway, NJ","light","15 minutes"
"14996",20020415,20020416,"Raahr (Finland),","light","1 m"
"3121",19980711,19980713,"Chicago, IL","light","1 minute"
"55511",19951120,20090801,"Elizabethtown, KY","other","2 minutes"
"27874",20040725,20040728,"Mt. Pleasant, MI","light","3 minutes"
"25701",20040419,20040419,"Tustin, CA","sphere","3 minutes"
"15516",19950601,20020303,"V&auml;sby (Sweden),","circle","3 min"
"35132",19940601,20051120,"Farmington, NM","triangle","2 minutes"
"55552",20090802,20090803,"Avoch (UK/Scotland),","circle","20seconds"
"37024",20060418,20060418,"Boyertown, PA","triangle","2 minutes"
"39744",19830901,20061028,"Allentown, PA","disk","35 minutes"
"13771",20011222,20011224,"Astoria, OR","sphere","5 minutes"
"11578",20010409,20010410,"(Canada), ON","other","20 to 30 seconds"
"41905",20070307,20070307,"Trinidad, CO","light","2 min"
"35640",20051212,20051212,"Seattle (University District), WA","light","5 minutes"
"7125",19991117,19991118,"Erie (Green Township), PA","sphere","2 one half hrs."
"27057",20040629,20040630,"Anacortes, WA","oval","7 minutes"
"39098",20060923,20060927,"Louisa, KY","light","20 min"
"8475",20000521,20000611,"NASA-INTERNET TV, TX","disk","10MIN"
"16143",20020702,20020703,"Boise, ID","sphere","45 seconds"
"11437",20010427,20010429,"Marlboro, MA","sphere","20 mins"
"17516",20021007,20021007,"Camden, AR","diamond","30 seconds"
"47353",19940601,20080201,"Bethlehem, PA","triangle","6-8 min"
"23857",20031225,20031225,"New Haven, CT","fireball","?10 min"
"42231",20061015,20070418,"Kalispell, MT","teardrop","About 20 min"
"41968",20070317,20070320,"Sunnyside, NY","circle","unknown"
"59634",20100617,20100618,"Perry, IA","cylinder","15 - 20 min"
"4630",19990511,19990515,"Marietta, GA","circle","2-3 seconds"
"9841",20000906,20000907,"Williamsville, NY","light","3.5 hrs."
"2014",19971115,19980221,"Hubbard, OH","triangle","15MIN"
"44177",20070813,20070815,"Dallas, TX","unknown","10-15 seconds"
"37144",20000801,20060417,"Los Angeles, CA","triangle","30 Seconds"
"15756",20020702,20020705,"Los Angeles, CA","unknown","5 minutes"
"30997",20050302,20050302,"Oaklawn - Hickory Hills, IL","light","about 5 to 10 minutes"
"44572",20070303,20070909,"Redwood City, CA","triangle","15min"
"49373",20080718,20080722,"Po&apos;ipu, HI","other","3 seconds"
"58247",20100222,20100227,"Tralee (Ireland),","sphere","20 minutes"
"54196",20090315,20090319,"Riverhead, NY","other","1 minute"
"28369",20040920,20040923,"San Francisco, CA","oval","photo"
"57851",20091127,20091128,"Winchester, VA","light","20 min"
"54556",20090530,20090530,"Dehradun (India),","disk","45 mins"
"47066",20080112,20080123,"Hampton, TN","egg","15 seconds"
"54766",20090606,20090607,"Valley  Cottage, NY","circle","5 min"
"48829",20080615,20080616,"London (UK/England),","cone","03 minuites"
"47562",20080414,20080414,"Oberlin, OH","formation","30 minutes"
"40406",20061216,20061217,"Decatur, GA","light","30 seconds"
"32682",20050703,20050703,"Tacoma area, WA","unknown","10 minutes"
"34419",20051106,20051112,"Lodi, CA","fireball","1&amp; 1/2 minutes"
"47361",19931219,20080217,"Ottumwa, IA","formation","8-10 seconds"
"25884",20040405,20040406,"Warrenton, NC","changing","2min"
"14322",20010101,20020201,"Croton-on-Hudson, NY","fireball","2 secs"
"21144",19780108,20030813,"Cardiff (UK/Wales),","triangle","20 mins"
"3267",19970702,19981115,"Calistoga (Knights Valley), CA","triangle","15 mn"
"51619",20081008,20081008,"O&apos;Fallon, MO","sphere","45 min."
"29318",20041106,20041107,"Laguna Beach-Newport Beach border, CA","diamond","4-5 seconds"
"14456",19970601,20020128,"American Canyon, CA","triangle","1 MIN"
"54713",20090602,20090602,"Tucson, AZ","unknown","2-3 min"
"58071",20090713,20091128,"Waunakee, WI","other","5 seconds"
"54941",20090531,20090601,"Fostoria, OH","triangle","15 to 20 seconds"
"39722",20061128,20061129,"Birmingham, AL","sphere","45 sec."
"52789",20090219,20090222,"Berkley Twsp., NJ","triangle","1 minute"
"52687",20090103,20090204,"New Paris, OH","triangle","unknown"
"15419",20000601,20020519,"Boca Raton, FL","triangle","10 min"
"36907",20060407,20060407,"Hollister, CA","unknown","3 minutes"
"30921",19920703,20050228,"Pembroke Pines, FL","oval","3 MINUTES"
"51068",20060318,20081027,"Junction City, OR","other","45 mins"
"23053",20031203,20031211,"West Bridgewater, MA","unknown","approx 45 sec"
"58315",20090607,20100310,"Las Vegas, NV","oval","5 minutes"
"61162",20100830,20100829,"Derby, CT","cigar","30 mins"
"21203",20030808,20030810,"Tempe, AZ","flash","10-15 minutes"
"7388",19990808,20000331,"Long Valley, NJ","disk","30 min"
"11874",20010326,20010326,"La Paz,","disk","3 hours"
"38232",19780601,20060804,"San Pedro de Macoris,","circle","3 minutes"
"7412",20000125,20000508,"Montevideo (Uruguay),","fireball","3 min"
"25982",20040506,20040506,"Gravenhurst (Canada), ON","triangle","10 seconds"
"21697",20030831,20030831,"Montebello, CA","fireball","00:20"
"37910",20060618,20060619,"Atlanta, GA","unknown","3-5 minutes"
"37134",20060512,20060514,"Plano, TX","unknown","2 seconds"
"7411",20000309,20000313,"Fallbrook, CA","circle","1/2second"
"36623",20060405,20060406,"Oklahoma City, OK","circle","10 minutes"
"27946",20040724,20040725,"Lynnwood, WA","oval","3 seconds"
"52363",20081208,20081207,"Stephens City, VA","teardrop","5-10 seconds"
"43581",20070712,20070713,"Herrin, IL","circle","2.00"
"51245",20080826,20081028,"St. Louis, MO","diamond","half hour"
"32905",20041108,20050825,"St. Petersburg Beach, FL","circle","five seconds"
"29581",20050111,20050112,"Arbuckle/College City (between), CA","light","at least 10 Min"
"4224",19830715,19990506,"Little Falls, NJ","rectangle","8 minutes"
"11813",20000517,20010427,"Fredericksburg, TX","teardrop","1minute"
"14449",20020201,20020219,"Sunrise, FL","light","Feb 1st. 2002"
"54185",20081230,20090313,"Nelson (New Zealand),","circle","seconds"
"15715",20020726,20020726,"Dallas, TX","fireball","2min"
"30111",19830415,20050211,"Katonah, NY","sphere","30 seconds"
"29446",20041227,20041230,"Sebring, FL","circle","30 seconds"
"15302",20020513,20020513,"Mosinee, WI","triangle","15 minutes"
"38800",19600630,20060905,"London (UK/England),","triangle","25 seconds"
"6613",19991215,19991219,"Omaha, NE","circle","&lt; 1 minute"
"8227",20000806,20000807,"Las Vegas, NV","formation","4mins"
"54913",20090705,20090705,"Peterborough (UK/England),","cylinder","45 seconds"
"39913",20061210,20061210,"Ukiah, CA","cigar","10 seconds"
"39134",20060920,20060920,"Warner Robins, GA","light","3 seconds"
"28760",19700801,20040926,"Everton, MO","light","1 hour"
"21360",20030810,20030907,"Anchorage, AK","other","driving to sward"
"1706",19970704,19970707,"St. Louis, MO","light","5 sec"
"48638",19810520,20080525,"Humboldt, TN","disk","10 minutes"
"22229",20031018,20031019,"Tuscumbia/Cherokee (between), AL","other","about 10 minutes"
"4049",19981217,19981218,"West Plains, MO","unknown","2 HOURS"
"33526",20050906,20050907,"Coronado, CA","cigar","15 Minutes"
"35550",20051218,20051223,"Knox, IN","triangle","5minutes"
"60193",20100709,20100717,"Alton, IL","unknown","1 minute"
"36988",20060313,20060608,"New York City (Manhattan), NY","triangle","2:00 minutes"
"10302",20000202,20010107,"Area 51 and Mercury, NV","light","3 hours"
"54480",20090702,20090702,"Lincoln, NE","cylinder","5 min"
"857",19961217,19961218,"Sunrise, FL","sphere","60-90 seconds"
"36421",20060301,20060304,"Townsend, TN","light","Two Days to Current"
"25402",20040327,20040328,"Rigaud (Canada), QC","light","4 hours"
"5359",19990802,19990803,"Brackley Beach (Canada), PE","oval","7min"
"13089",20011004,20011004,"Victoria (Canada), BC","light","10 seconds"
"18530",20021207,20021208,"Las Vegas, NV","light","1min"
"16457",20020810,20020827,"Rockaway, NJ","light","5 min"
"34554",20051108,20051109,"Montreal (Canada), QC","light","more than 30 min"
"14736",20020213,20020215,"Webberville, MI","light","5 Min"
"1598",19971024,19971025,"Santa Rosa, CA","circle","5 seconds"
"14410",20020102,20020104,"Hamilton (Canada), ON","triangle","1 minute"
"37697",19960802,20060518,"Fishers, IN","circle","8 -10 seconds"
"5281",19990822,19990823,"Oak Harbor, WA","light","3 hours"
"36202",20060303,20060303,"Dunkirk, MD","other","2 minutes"
"20345",20030709,20030716,"Barra do Tejuco (Rio de Janeiro) (Brazil),","unknown","5-7 minutes"
"35011",20051118,20051122,"Pittsfield (proximity of; to south; 90 E on highway), MA","cigar","4 seconds"
"49699",20080514,20080625,"Gaberone (Botswana),","triangle","30 minutes"
"25038",20030412,20040311,"Pensacola, FL","light","1 minute"
"36366",19780901,20060321,"Greenfield, IN","light","15 - 20 minutes"
"46662",20030101,20080119,"Mocksville, NC","unknown","1 min"
"7131",19991130,19991208,"Deerfield Beach, FL","circle","15 sec"
"26291",20040614,20040614,"Orem, UT","sphere","1/2 hour"
"36534",20060323,20060324,"Ben Lomond, CA","light","30 minutes"
"28893",20041113,20041113,"Warren, OH","light","10 seconds"
"2124",19741115,19980318,"Val Caron (Canada), ON","cylinder","10 mins"
"33052",20050706,20050819,"Scotts Valley, CA","light","45 seconds"
"41103",20070119,20070123,"Colby, KS","changing","30-45 seconds"
"28570",20000915,20040918,"Pinos Altos, NM","circle","one minute or less"
"12819",20010806,20010806,"Burbank, CA","fireball","1 second"
"7416",20000509,20000509,"Shahola Falls, PA","light","120 Seconds"
"54568",19660717,20090620,"Waukegan, IL","circle","3&#x5C;min"
"13725",19820815,20011228,"Old Woman Mountains area, CA","disk","35min."
"40100",20061020,20061022,"Nicholson, GA","unknown","5 minutes"
"39853",20040622,20061022,"Red Deer (Canada), AB","light","5 min."
"59022",20100301,20100402,"Davenport, CA","fireball","1 minute or so"
"42170",20070528,20070530,"Portland, OR","circle","15 - 20 min"
"35140",19570630,20051227,"New York City, NY","teardrop","i0min"
"60577",20100704,20100709,"Derby, KS","other","Around 2-3 hours, off and"
"51432",20081001,20081001,"Merrick, NY","disk","5 seconds"
"27775",19680610,20040810,"Woodland Hills, CA","disk","5 Minutes"
"21950",20030920,20030921,"Fraser, MI","light","25-30 minutes"
"32955",20050715,20050716,"Luray, VA","sphere","1 hour"
"14978",20020327,20020328,"Winnipeg (Canada), MB","flash","45 seconds"
"52302",20090110,20090110,"Bath (UK/England),","circle","seconds"
"24232",20040117,20040118,"Eugene, OR","changing","5-7 MINUTES"
"52643",20081124,20081124,"Hatboro, PA","disk","45sec. - 1min."
"56036",20090725,20090725,"Semmes, AL","light","Approx. 10 min."
"14923",20020521,20020523,"Camarillo (Rural), CA","triangle","approx. 30 minutes"
"18054",20021119,20021225,"Lynchburg, VA","triangle","10 seconds"
"25184",20040321,20040329,"Canada, AB","light","seconds"
"57222",19740501,20091004,"Ft. Bragg, NC","circle","3min"
"32655",20010901,20050705,"San Marcos (20 miles west of), TX","other","3 minutes"
"7755",20000528,20000528,"Spring (North Harris Co.), TX","unknown","10 mins."
"44198",19830812,20070814,"Pulaski, VA","triangle","3 minutes"
"52778",20090118,20090118,"Bremerton, WA","changing","still occuring"
"17306",20021006,20021007,"Harrisonville, IL","oval","20 seconds"
"54924",20090629,20090630,"Rohnert Park, CA","triangle","2 minutes"
"55568",20090815,20090817,"Rose City, MI","fireball","2 minutes"
"36044",20060105,20060214,"Idaho (rural), ID","triangle","5minutes"
"59138",20100504,20100504,"Telford, PA","light","2 minutes"
"11582",19800812,20010503,"Bandon, OR","disk","4-8 seconds"
"7978",19910808,20000226,"Walesby, Nottinghamshire (UK/England),","sphere","10-15 seconds"
"8523",20000707,20000713,"Los Angeles, CA","light","5 - 10 minutes"
"39564",20061028,20061031,"Oxnard, CA","circle","10 mins"
"4399",19990401,19990518,"San Diego (Southbay), CA","circle","25MINUTES"
"14803",19950215,20020515,"North Washington, PA","sphere","10-15 Seconds"
"19187",20030202,20030204,"Sacramento, CA","light","so far 3 nights for 2+ ho"
"19819",19930301,20030430,"Mesa, AZ","other","a couple min"
"1766",19970418,19970418,"Dallas, TX","diamond","15 minutes"
"16315",19940710,20020815,"Kingston (Near) (Canada), ON","circle","5 mins"
"29333",20041031,20041031,"Tinley Park, IL","light","30min"
"53125",20090206,20090213,"Lincoln, NE","light","30 minutes"
"50268",20060922,20080925,"Indonesia,","oval","5 minutes"
"40537",20061221,20061223,"New Milford, CT","cigar","17 Minutes"
"60821",20100704,20100705,"Sultan, WA","fireball","30 minutes"
"50086",20080912,20080912,"Malaga (Spain),","teardrop","4 sec"
"27214",20040819,20040822,"Des Moines, IA","triangle","10 m"
"35554",20051126,20051127,"Maryhill, WA","light","1 sec."
"29773",20050120,20050120,"Oxford, CT","rectangle","1 minute"
"27322",20040820,20040826,"Pelican Lake, WI","circle","5 hours"
"34222",20050716,20050908,"Interstate 70 (IN/OH border), IN","light","20 SEC"
"3637",19931001,19981213,"Tempe, AZ","triangle","15 minutes"
"2653",19981115,19981117,"I-35 (about 3 miles north of West), TX","disk","1 minute ?"
"16284",19971113,20020908,"Corvallis, OR","light","20 minutes"
"50267",20080929,20080930,"Santa Maria, CA","triangle","30 min"
"17260",20020919,20020920,"Merritt Island, FL","chevron","5 minutes"
"33191",20050714,20050716,"Harrison, AR","cross","32 min."
"13348",20010912,20010913,"Louisville (KY)/Henryville (IN), KY","other","6-7 hours"
"40059",20061024,20061025,"Mercer Island, WA","oval","10-15 seconds"
"58774",20090723,20100323,"Urmston (Manchester),","sphere","3 minutes"
"36788",20040201,20060204,"Melbourne (Australia),","unknown","A few Minutes."
"33503",20050725,20050726,"Huntsville, AL","oval","1-2 seconds"
"34809",20051120,20051121,"Barstow, CA","light","5 minutes"
"52988",20080116,20090216,"Phoenix, AZ","circle","One minute"
"11273",19970215,20010222,"Hudson, WI","unknown","5 minutes"
"43513",20070708,20070709,"Arizona, AZ","teardrop","-------------------------"
"29074",20011125,20041202,"Troy, OH","egg","5 MINUTES"
"33164",20050815,20050827,"Aurora (Canada), ON","light","3 mins"
"34911",20051105,20051105,"Porterville, CA","fireball","approx. 2 min."
"61113",20100825,20100825,"Caldwell, ID","light","5 min."
"22859",20031024,20031027,"Hollywood, FL","disk","less than 1min"
"49291",20080717,20080718,"Macon, GA","unknown","2 mins."
"60277",20100704,20100705,"North Platte, NE","rectangle","30 seconds"
"50928",19810315,20081010,"Needles, CA","disk","30 minutes"
"33111",20050814,20050814,"Beeville, TX","circle","2 Min"
"42378",20070606,20070606,"Denton, TX","changing","4:00 min."
"21204",19980515,20030827,"Pueblo West, CO","triangle","15min"
"60843",20100711,20100711,"Philadelphia, PA","light","30 minutes or so"
"5673",19990929,19990930,"Nashville, TN","fireball","5 minutes"
"13183",19940709,20010902,"Lake Perris, CA","triangle","24:00"
"37087",20060521,20060523,"Richmond, VA","triangle","Approx 1 Minute"
"53462",20090214,20090214,"Grimsby (UK/England),","fireball","5 Minutes"
"2860",19980920,19980921,"Spanaway, WA","unknown","unknown"
"29346",20041030,20041104,"Glendale, AZ","circle","5-8 mnutes"
"8569",20000826,20000827,"San Diego, CA","light","1 minute"
"27533",20020715,20040725,"Sears Point (BLM property), NM","light","90 minutes"
"50224",20080824,20080826,"Indianapolis, IN","unknown","30seconds"
"7699",20000311,20000315,"Houston, TX","sphere","8 sec+-"
"5799",19990901,19990916,"Auburn, CA","fireball","30 sec"
"13444",20010829,20010830,"Marietta, OH","triangle","1 minute"
"35612",20051229,20051230,"Escondido, CA","sphere","2 minutes"
"32036",20050520,20050520,"Bellevue, WA","circle","3 seconds"
"28053",20040915,20040917,"Charlotte, NC","rectangle","5-10 seconds"
"53839",20020715,20090301,"Debrecen (Hungary),","cigar","1 minute"
"33947",20050930,20051002,"Tinley Park, IL","light","15min"
"37242",20060502,20060615,"Las Vegas, NV","circle","5 minutes"
"50092",20080903,20080904,"Athens, GA","unknown","20 minutes"
"48137",20010928,20080330,"Fulton County (southern location in), GA","rectangle","30 minutes"
"4509",19881015,19990102,"Odessa, TX","circle","2 min"
"13274",20010802,20010903,"Toronto (Canada), ON","flash","10 min"
"43505",20070619,20070619,"Clawson, MI","formation","10 minutes"
"57210",20090923,20090924,"Johnson City, TN","light","10 sec"
"33945",19910822,20050924,"Asheville, NC","oval","5 minutes"
"43952",20070812,20070812,"New Waterford (Canada), NS","circle","30 seconds"
"50633",20080809,20080809,"Kelso, WA","unknown","Current"
"53704",19791130,20090304,"Ft. Jackson, SC","unknown","20 min"
"16490",19971111,20020805,"Enumclaw (outside of), WA","chevron","???????"
"24963",20030523,20040229,"San Diego, CA","disk","1 min"
"56662",20090813,20090916,"Chicago, IL","triangle","2.5 minutes"
"53480",20090114,20090114,"Winder, GA","cigar","3 minites"
"6577",19991126,19991204,"Redondo Beach, CA","formation","10 sec."
"60318",20100715,20100715,"Chicago Heights, IL","unknown","15 minutes"
"6017",19770501,19991006,"Bridgeport, CT","disk","half an hour or more"
"60029",20100717,20100720,"Brookhaven, NY","light","2 min"
"1890",19970405,19970719,"Fairhope, AL","circle","1 minute"
"3290",19920816,19980730,"Tigard, OR","unknown","1-2 minutes"
"20488",20030718,20030720,"Vancouver, WA","rectangle","15-20 seconds"
"59298",20100430,20100503,"Broadview Heights, OH","circle","1/2 hours"
"60818",20080424,20100722,"Acton, CA","unknown","15 sec"
"21854",20030830,20030830,"Los Angeles, CA","light","5-10 min."
"43442",20070713,20070713,"Chesterfield, MI","light","2 Minutes"
"40078",20061108,20061108,"San Diego, CA","light","1 second"
"45777",20070706,20071215,"Elk River, MN","light","2 seconds"
"8531",20000620,20000622,"Salem, OR","changing","4-5 min"
"24187",20040122,20040122,"Olathe, KS","triangle","1-2 minutes"
"50094",20080919,20080919,"Elizabeth, NJ","disk","15 seconds just about"
"30271",19920705,20050314,"Jerseyville, IL","flash","3 seconds"
"49486",20080723,20080801,"Bayfield, WI","disk","20 minutes"
"40563",19900220,20070125,"Brownsburg (Speedway), IN","sphere","approximately 3 to 5 min"
"54181",19831001,20090416,"Ayer, MA","unknown","20 seconds"
"12725",20010814,20010814,"Portland, OR","other","15 MINUTES"
"18688",19830615,20030220,"Phoenix, AZ","sphere","5 Minutes"
"61390",20100821,20100826,"Franklin Square, NY","fireball","20 minutes"
"45126",20071020,20071021,"Grand Rapids, MI","circle","1min"
"45943",20080117,20080117,"Effingham, NH","oval","15 minutes"
