"","Sighted","Reported","Location","Shape","Duration"
"34625",19710601,20051121,"UK/England (Devonshire),","light","30seconds"
"45867",20071202,20071203,"Sapulpa, OK","circle","3 or more hours"
"9535",20000912,20000912,"Gold Bar, WA","triangle","10min"
"26162",20030621,20040418,"Des Moines, IA","triangle","30 minutes"
"22814",20031003,20031003,"New Delhi (India),","cylinder","3 min (approx)"
"26202",20040406,20040516,"Suprise, AZ","other","aprox 45 sec."
"15552",20011205,20020601,"Birmingham, TX","unknown","1 Hour"
"3627",19990203,19990203,"Van Nuys, CA","circle","15 minutes or more"
"43244",20070716,20070716,"Port Orchard, WA","unknown","30 seconds"
"28014",20040831,20040901,"Malden Bridge, NY","disk","30 minutes"
"22151",20020816,20031020,"Alliance, OH","cylinder","2-3 Minutes"
"20574",20030706,20030706,"Morrison, IL","disk","6 seconds"
"18836",20030206,20030208,"Washington Court House, OH","light","30 minutes"
"8425",19800701,20000603,"Black Earth, WI","oval","1.5 minutes"
"44478",20070828,20070829,"Claymont, DE","sphere","1sec"
"50899",20081013,20081013,"San Francisco, CA","circle","15m"
"33856",20050923,20051004,"Beckley, WV","triangle","5 minutes"
"10368",20010113,20010115,"Los Angeles, CA","sphere","1 min"
"40197",20031001,20061114,"Granville, MA","circle","3-5 seconds"
"24389",20010418,20031221,"Lame Deer, MT","disk","35 to 45 minutes"
"3108",19971012,19980703,"Chicago, IL","light","5 minutes"
"26043",19991210,20040417,"Grand Rapids, MI","other","3.5 seconds"
"7375",20000518,20000518,"Cuba, MO","triangle","5-8minutes"
"34194",20050622,20051013,"Bishkek (Kyrgystan),","circle","2001"
"60049",20100714,20100719,"Rochester, NY","light","20 - 30 seconds"
"58355",20100319,20100319,"Wilmington, DE","sphere","Approx. 3 seconds"
"19595",20030521,20030521,"Winchester, WI","light","1 minute"
"52467",20070701,20081231,"Oregon coastline, OR","other","around 1 hour"
"44665",20070910,20070912,"Burns Junction (100 miles south of), OR","chevron","8 minutes"
"38998",20060903,20060904,"Vancouver (Canada), BC","oval","1 minute"
"26257",19930501,20040605,"Magnolia, MS","cigar","5 minutes or so"
"28450",20040915,20040916,"Robinson, TX","circle","3 mimutes"
"4892",19990725,19990725,"London (Canada), ON","flash","45 sec"
"44378",20070823,20070822,"Fort Hood, TX","light","1 hour"
"54581",20090521,20090521,"Winterport, ME","fireball","10 minutes"
"2563",19980129,19980203,"Coventry, RI","disk","4-5 minutes"
"28324",19690704,20041004,"Cachuma Lake, CA","other","15 minutes"
"42926",20070424,20070425,"South Kingston, NH","circle","5 minutes"
"12291",20010801,20010810,"Downers Grove, IL","cylinder","4-5 minutes"
"20313",20030705,20030714,"Crystal, NM","cigar","less than a min."
"17358",20020912,20020915,"Brockville (Canada), ON","egg","seconds"
"20506",20030705,20030705,"Athens, AL","cylinder","&lt;2 minutes"
"26842",19910511,20040624,"Huntington Beach, CA","other","2 minutes"
"12866",19980801,20010626,"Pittsburgh (on I-79), PA","triangle","2 min."
"20870",20030819,20030818,"New York City, NY","circle","30 seconds"
"33823",20050914,20050914,"Gilbert, AZ","rectangle","15 minutes"
"22142",20031108,20031110,"Harvard, IL","triangle","5 minutes"
"8967",20000808,20000812,"Garden City, SC","light","2 hours"
"60715",20100701,20100701,"Yokohama (Japan),","changing","5 min"
"5881",19990919,19990919,"Bothell, WA","light","5 - 10 seconds"
"8102",20000330,20000330,"Phoenix, AZ","flash","SECONDS"
"52960",20090113,20090113,"Montebello, CA","fireball","Still up there"
"23528",19850713,20031129,"Haledon, NJ","chevron","30 seconds"
"15009",20020308,20020321,"Annapolis, MD","triangle","5 seconds"
"3736",19680715,19990226,"Rosemead, CA","cigar","20 min."
"59404",20100604,20100625,"Easton, MD","teardrop","10 MIN"
"11713",20010330,20010331,"Orofino (16 miles east of), ID","unknown","2 hours"
"12924",19711015,20011010,"Bremerton, WA","disk","10 minutes"
"25408",20040324,20040324,"Lake Havasu City, AZ","light","&lt;1 minute"
"54686",20090625,20090626,"Santa Barbara, CA","changing","10 minutes"
"28762",20040828,20040925,"Campbellford (Canada), ON","other","not sure"
"10830",20010205,20010205,"Fayetteville, AR","other","5 seconds"
"51934",20070820,20081207,"Hartsville, SC","light","10 Minutes"
"51129",20081001,20081002,"Dallas, TX","oval","5 min"
